Year,cd,Less_than_$5000,$5000_to_$9999,$10000_to_$14999,$15000_to_$19999,$20000_to_$24999,$25000_to_$34999,$35000_to_$49999,$50000_to_$74999,$75000_to_$99999,$100000_to_$149999,$150000_or_more
2021,2_TX,11513,7590,10545,11484,14104,30557,43697,70917,57731,81639,99615
2021,2_UT,8815,6788,13283,11653,11967,31906,48140,78123,63537,84351,66699
2021,2_VA,7202,5640,7415,8064,10265,21976,34073,58048,47390,68491,62525
2021,2_WA,4807,4284,6155,6490,6026,13790,21883,34572,28495,35324,31068
2021,2_WI,6410,4476,7327,6752,8775,17551,27816,44614,36078,46536,47202
2021,2_WV,11109,11781,18037,17800,18177,33528,46900,63628,44225,50864,34745
2021,20_CA,4431,3008,5773,4932,6070,12177,15054,23180,17990,22440,19623
2021,20_FL,14476,10034,17167,18550,18412,40102,55295,78126,50817,60695,59943
2021,20_NY,6790,5291,10053,8753,8855,18223,28064,44474,36627,53127,51972
2021,20_TX,12181,9061,13265,13338,16645,32991,46373,68693,45505,56256,48212
2021,21_CA,2693,2272,4353,4024,3909,6304,7330,8159,4651,4446,2349
2021,21_FL,9943,5906,9838,10900,12799,24624,34588,52001,35656,40701,37554
2021,21_NY,9012,7972,14313,15523,14154,29262,39322,58509,45834,54907,37423
2021,21_TX,1939,1522,2307,2381,3257,7095,11230,17923,14562,18409,18383
2021,22_CA,11923,8508,17910,16177,16892,36433,46875,62994,45861,47797,37834
2021,22_FL,9934,6448,11470,12633,14133,27780,39395,54076,40991,50660,54965
2021,22_NY,10237,7232,11807,13940,11906,23792,33646,51454,37365,46360,36295
2021,22_TX,1219,937,1683,1330,852,2606,3102,4382,3508,4566,6776
2021,23_CA,14625,9809,18952,14284,18939,35217,50656,71151,51574,61121,47227
2021,23_FL,4578,2325,3499,3904,4159,8811,13745,18449,13898,18436,21588
2021,23_NY,7307,6979,12897,11952,12791,25125,33385,50035,36745,44142,33138
2021,23_TX,5903,6052,9252,7685,7421,15534,21816,31774,23905,32672,33422
2021,24_CA,6953,4373,8135,7036,7307,15562,24623,37521,31424,45709,57363
2021,24_FL,11330,11797,14792,13779,15311,29196,35337,44908,27956,28660,28210
2021,24_NY,11441,9065,16737,17113,18837,38523,54613,83393,62139,78076,61272
2021,24_TX,11963,8332,12331,12511,16241,35213,54431,82522,59577,75893,104957
2021,25_CA,10870,6831,13216,13361,14348,24512,33370,40353,30276,35593,29758
2021,25_FL,14042,9307,12013,11038,12214,28004,43657,59251,47432,62428,68006
2021,25_NY,8563,7432,12765,11887,12311,23353,30568,44706,33111,40178,29350
2021,25_TX,11897,7984,15392,15454,16738,36958,52503,74539,55141,68317,50582
2021,26_CA,5029,3590,6242,6127,6617,15807,23620,35799,35207,50271,69221
2021,26_FL,5100,5614,6900,6289,7693,13747,18834,27337,18558,17923,14255
2021,26_NY,14864,10598,19158,16920,17649,33724,44087,63264,44285,51577,40868
2021,26_TX,7623,4717,7676,8311,8322,22191,38076,62875,52232,82533,123386
2021,27_CA,6112,3566,8278,6760,7007,15639,22704,38393,33813,51793,68741
2021,27_FL,15821,15790,22242,19326,19410,38814,48148,73585,51786,64430,75583
2021,27_TX,9681,8778,14641,12846,14647,25909,35754,49270,35965,42824,31259
2021,28_CA,8338,5585,9442,8939,10092,19422,27035,49857,41642,61269,73749
2021,28_FL,3904,4204,4753,4754,5491,12075,16195,24766,19129,22939,21421
2021,28_TX,16430,16605,21419,21512,20174,42695,54115,79964,57773,66203,45799
2021,29_CA,4379,2820,6442,5104,5730,11289,15830,22129,17300,21988,23200
2021,29_TX,834,1161,1201,1316,2003,3684,3194,4587,1936,1455,524
2021,3_AL,13735,9113,15119,13071,13335,27039,30778,42987,29335,32433,20498
2021,3_AR,7323,5303,9747,10627,11878,25877,32365,48014,32156,37476,34759
2021,3_AZ,4114,2826,4958,4440,4255,10262,13892,17225,10972,10306,6565
2021,3_CA,10887,6213,13257,12052,13592,27171,38823,66150,55039,79874,104239
2021,3_CO,8858,7741,12552,13591,12253,25604,36016,53339,36605,41431,30214
2021,3_CT,6871,5270,8288,7621,7959,16016,21137,34984,27643,39053,47215
2021,3_FL,16085,11400,17372,18725,18969,36980,53246,66838,41535,40970,31216
2021,3_GA,5933,4865,7248,7534,8087,14571,21497,30503,23922,29732,28213
2021,3_IA,5431,4387,8189,8897,8041,19508,30369,46383,35189,45270,39115
2021,3_IL,14675,10976,16456,15563,17609,36001,52135,84325,69885,98853,127676
2021,3_IN,5753,4869,9494,10892,11456,24966,36243,51941,39560,39785,23964
2021,3_KS,5322,3057,5255,5326,7415,16588,25714,43233,39400,55124,68487
2021,3_KY,8480,8517,11425,11442,10480,22851,31844,41477,26488,30751,23972
2021,3_LA,13040,11804,16860,15807,16535,31850,37806,49359,37927,43780,33886
2021,3_MA,6692,5816,12308,8749,8989,18422,28062,43394,35522,54447,71853
2021,3_MD,5533,2660,4106,4713,4553,10388,19181,34381,36909,61773,98457
2021,3_MI,9714,8477,13353,15239,18296,33998,54082,83449,64400,77206,58954
2021,3_MN,3936,2646,5343,5449,5985,13883,22961,40593,36490,59012,88780
2021,3_MO,8614,7818,12490,12356,14825,30024,45855,68071,55784,68882,59278
2021,3_MS,13398,11715,19150,16615,16235,28152,35212,44981,29732,34128,23075
2021,3_NC,14279,12691,20895,19249,20823,43432,57127,73703,50531,51570,30997
2021,3_NE,7110,7141,12993,12568,13648,27980,40131,56831,42579,45827,26417
2021,3_NJ,8116,5410,9950,10173,12087,22092,33767,53735,49599,75329,118229
2021,3_NM,13793,11887,18330,16174,16795,32509,43931,61759,41771,47082,40486
2021,3_NV,17953,8814,12803,16268,17432,39314,61325,85941,65398,78377,76977
2021,3_NY,3713,2484,2889,2755,2542,6445,7861,15170,14586,26242,65707
2021,3_OH,12325,10780,14483,15787,15064,33791,50217,70684,50282,60952,58477
2021,3_OK,11343,8351,14445,14016,14630,31913,38363,52836,33665,35730,19445
2021,3_OR,4663,4401,6753,6153,6811,13404,20691,32040,23412,31690,30152
2021,3_PA,24001,22559,25901,20278,17507,35629,44439,63518,44168,47141,53467
2021,3_SC,9663,7525,13804,13107,12941,25766,34434,43804,29956,33582,22135
2021,3_TN,12173,10538,19894,17832,17872,38621,50956,68648,50233,54864,40343
2021,3_TX,7286,4531,6257,7583,9485,19845,32901,54543,51077,81330,108857
2021,3_UT,3172,2212,3393,4179,4127,10242,13030,22203,17597,21972,20943
2021,3_VA,12326,8418,10880,12625,13476,26625,37537,55301,35715,39291,25374
2021,3_WA,7616,5901,9759,10647,11540,24023,37064,60568,49786,67058,57078
2021,3_WI,7517,6661,14910,13023,15629,32318,46017,71096,51079,58468,35745
2021,30_CA,4910,3432,10067,5896,5583,10016,12145,20269,15423,20664,25271
2021,30_TX,16608,11439,17335,15255,17480,37847,52133,76094,51656,60045,47337
2021,31_CA,2638,1823,3906,3731,4116,8265,11461,18068,14469,19964,21073
2021,31_TX,2988,2936,4027,5249,4725,9891,17209,26341,23652,29537,27324
2021,32_CA,19236,9609,19718,15868,16252,33305,46675,74830,62011,95531,163353
2021,32_TX,444,267,443,448,897,1812,2152,3476,3079,4207,5886
2021,33_CA,2121,2264,4608,4182,4289,9507,11819,20775,14770,15236,9040
2021,33_TX,1232,807,1047,1255,1559,3824,7008,8598,5437,5412,4054
2021,34_CA,18759,12627,27263,18819,19504,38419,48672,68371,49258,59121,65497
2021,34_TX,13756,17351,22468,21718,19399,35432,40672,56405,33917,38880,22720
2021,35_CA,2371,1523,2874,3365,3200,6944,10648,18411,15456,21159,25476
2021,35_TX,9379,6251,9466,9651,9707,22640,29347,43102,32874,36273,28374
2021,36_CA,3652,1298,2935,2487,2906,4753,6457,11788,11425,19591,49308
2021,36_TX,5976,4691,8253,7778,9749,18131,24671,35593,25641,34079,31581
2021,37_CA,8863,5801,9478,7322,9449,16436,24273,32968,26897,33769,45565
2021,37_TX,13306,8709,10252,10799,11262,28032,44356,75351,60580,94315,131397
2021,38_CA,9227,4983,9399,9493,9948,21363,33580,55410,49688,73216,83549
2021,38_TX,64,431,273,293,227,895,997,1733,1775,1816,1984
2021,39_CA,7868,4945,8532,8876,9452,23622,34601,57413,47966,68034,68441
2021,4_AL,9700,9396,17831,17207,16270,31200,41420,50559,33797,33753,21098
2021,4_AR,12437,11648,19163,19576,19902,36903,46656,59497,38427,36907,20951
2021,4_AZ,13899,8892,12495,14569,15481,35349,54396,80983,60029,73685,63694
2021,4_CA,7162,4758,8406,6418,7297,15845,23547,39017,34158,49304,61543
2021,4_CO,2658,1902,3149,3016,3085,8189,11479,19366,18452,29903,44972
2021,4_CT,6761,6291,9327,8491,8579,16894,24602,39235,29127,46646,104880
2021,4_FL,10816,7576,11307,9881,11747,26075,33278,48952,36220,38171,27570
2021,4_GA,2748,1631,2851,3477,3376,8451,12733,19236,13055,14156,12245
2021,4_IA,9428,7154,13006,15275,13587,28845,40008,61626,45769,53220,32417
2021,4_IL,11104,8476,10876,11885,14591,26861,30476,43149,32244,34462,29844
2021,4_IN,9740,7656,12096,13686,14593,32742,45150,68853,53787,62980,45859
2021,4_KS,8236,6779,11802,11219,14329,27074,39180,55220,38276,43102,29871
2021,4_KY,10640,8948,13782,15368,14430,32181,44671,66712,52441,68275,60037
2021,4_LA,13590,14065,22450,20960,19920,33247,37419,45944,30274,35970,23837
2021,4_MA,8923,5070,11379,10103,10111,18731,25315,42062,38723,60650,105161
2021,4_MD,9017,5291,7143,6740,7191,16990,27365,53100,44159,67812,74543
2021,4_MI,4491,4101,6406,6925,7096,15153,19373,25327,19813,22226,17421
2021,4_MN,6271,4981,8244,7874,8105,18516,27121,41640,31992,43870,47416
2021,4_MO,5732,6025,11447,10805,12021,24995,34996,50407,36444,45310,29891
2021,4_MS,8514,7126,11348,11555,11104,22654,29873,38704,28403,28909,18533
2021,4_NC,8032,5932,8698,8567,9323,22153,30364,42710,34342,46306,50483
2021,4_NJ,4041,2643,4755,5768,6336,13494,19968,27852,23285,33657,43910
2021,4_NV,2715,2036,3295,2880,4937,10090,14398,22854,19334,24552,16304
2021,4_NY,4168,3060,5352,5559,6347,11485,19111,32662,31374,58319,116211
2021,4_OH,5204,5115,7378,8044,8816,17518,26542,37973,29022,31477,21248
2021,4_OK,6756,5562,9082,8471,9989,20509,28811,42212,30465,35582,24095
2021,4_OR,9298,8131,13396,13066,13339,25550,37116,50422,35952,39143,27712
2021,4_PA,3710,1889,3778,4251,5330,9847,14434,26580,24301,35420,50705
2021,4_SC,11251,8730,12955,13613,13068,32722,43648,61305,46232,49772,43130
2021,4_TN,7064,6456,10976,10595,10898,22569,34478,47118,31991,34583,21145
2021,4_TX,3676,3912,5953,5506,5830,10588,14271,21436,15057,17218,13659
2021,4_UT,5203,3471,4996,6054,6529,15647,29252,52514,46799,67511,65274
2021,4_VA,7234,5837,9620,9344,8870,19291,27198,38212,26509,31894,20616
2021,4_WA,6066,6162,9623,10637,10241,24013,35632,52459,37258,43778,33807
2021,4_WI,13042,9314,18610,13307,15850,28477,36664,46466,31036,30745,20454
2021,40_CA,1580,633,1259,1277,1296,3531,4392,9802,8146,14095,26858
2021,41_CA,1456,807,1494,1645,1338,2830,4646,6396,5608,10114,11770
2021,42_CA,4155,2190,5400,4436,4693,10666,14267,22914,19014,20172,20847
2021,43_CA,11270,7183,14314,10585,11851,25605,32563,48953,39578,50545,56775
2021,44_CA,12042,8013,17269,14768,15608,32622,45651,69016,53147,66856,65963
2021,45_CA,1472,1186,1584,1606,1718,3934,5908,10169,9318,15690,25850
2021,46_CA,7792,5195,9724,7935,8331,18921,27649,45039,36988,50860,52567
2021,47_CA,14266,6011,11105,9234,10352,22401,31771,52616,51645,82897,139715
2021,48_CA,14345,8234,16390,17417,17127,35692,53835,88145,75595,115133,142436
2021,49_CA,9160,4480,6695,6938,9083,18149,24978,45099,40915,70061,132420
2021,5_AL,6662,4804,10534,10644,9922,20699,28924,36864,30337,37929,38171
2021,5_AZ,5549,2426,4038,4878,6077,13697,22397,39872,35352,52546,59160
2021,5_CA,11313,7835,16482,16066,16215,34827,51155,73564,57829,73073,73303
2021,5_CO,7261,4449,7938,8276,9239,19406,31943,50988,39683,51744,50510
2021,5_CT,7673,6061,9787,10527,11497,20204,31533,47125,36611,54553,70224
2021,5_FL,9343,4988,7659,8745,10568,23461,37870,54446,41783,52643,58680
2021,5_GA,15804,10756,15538,14667,13546,28358,37815,56875,42206,54304,88891
2021,5_IL,3830,2272,2661,1922,1971,3972,7238,13048,14225,18343,40638
2021,5_IN,9034,6742,9580,10459,12286,25780,36151,57509,41206,53090,59503
2021,5_KY,18380,20111,26255,21762,21179,36880,43239,54125,33821,32306,14301
2021,5_LA,14604,14863,20062,19078,17185,31892,37394,48534,30786,35704,26140
2021,5_MA,9511,6449,11154,9511,9032,17288,25830,41629,40319,65999,133293
2021,5_MD,3143,1696,2458,2947,3141,6095,11938,21677,21643,41234,57674
2021,5_MI,9086,9599,15001,15165,17230,36267,47412,71505,50088,54858,37181
2021,5_MN,10826,7905,14114,11855,12009,26785,41806,63458,50623,64141,69645
2021,5_MO,8607,7436,11300,11420,11587,23561,31274,39525,27457,29759,22314
2021,5_NC,7203,7806,10285,11595,10974,24216,29732,38342,28374,29526,21965
2021,5_NJ,4971,3286,5631,5887,6394,13091,18861,31565,30517,53403,105262
2021,5_NY,8038,6608,9644,8003,8416,18392,26031,42361,34097,50020,56952
2021,5_OH,9990,7970,13433,13510,14628,31291,46896,63760,49397,55773,38100
2021,5_OK,13575,10022,16753,15470,18951,37733,54276,75709,54724,62173,54249
2021,5_OR,8251,5793,9498,8561,10132,22141,33265,52527,43423,54995,56455
2021,5_PA,7065,4950,8020,8078,8507,19793,26285,38951,33248,44184,59743
2021,5_SC,7851,5488,10766,11108,10844,21924,26975,41704,28369,36281,29582
2021,5_TN,9264,7076,10238,11047,12247,27539,46218,67627,53990,68252,72283
2021,5_TX,7933,7929,11308,11839,13612,27755,37643,60012,41158,50635,35167
2021,5_VA,9769,7352,13047,11772,12240,24707,33407,47555,36782,45465,51034
2021,5_WA,8664,8283,11642,10291,12016,25404,36269,49735,37223,43033,34627
2021,5_WI,3078,1602,3622,4142,5590,12238,18308,29973,26349,40654,44890
2021,50_CA,7249,4448,9082,7214,8175,17180,24075,41080,32346,48940,71499
2021,51_CA,2468,1150,2246,2175,2228,5443,8177,16074,14422,22913,29162
2021,52_CA,3829,2466,6141,5107,5346,11332,14960,23911,19475,26459,22547
2021,6_AL,13603,12122,16302,16179,17213,36526,46943,71869,51105,64075,59200
2021,6_AZ,13927,12751,19271,18983,19924,41718,57300,74022,55328,61425,49149
2021,6_CA,6353,4584,9775,8206,7900,18413,26033,38739,31266,38497,33801
2021,6_CO,9408,6738,9978,9658,10878,24690,44457,72857,57643,85848,97668
2021,6_FL,9994,7325,13865,13679,13553,30414,39311,55702,37046,39315,27209
2021,6_GA,5308,3288,5181,5341,6915,14379,23404,36890,34105,54060,78950
2021,6_IL,11662,6693,10022,11907,14433,27341,37634,52630,43436,59162,59673
2021,6_IN,6922,5507,10319,11208,12837,26093,36612,55343,40186,44801,28869
2021,6_KY,7774,9226,9665,9884,10981,23292,30329,43717,31064,38409,30951
2021,6_LA,3896,2104,2847,4392,5651,10352,15304,22902,17881,26312,26704
2021,6_MA,6407,4563,9291,8372,7447,15013,21183,33815,32129,49661,88775
2021,6_MD,6308,5530,7864,7665,8005,18115,26499,42883,36935,55528,72705
2021,6_MI,9838,7776,9858,10336,11289,25530,37768,61102,47833,69016,86530
2021,6_MN,3305,2733,4498,5186,5328,12833,19618,32854,29815,42957,37316
2021,6_MO,9661,7405,12791,13970,14454,31552,41952,61103,49342,54276,37663
2021,6_NC,14580,11941,20217,20805,19145,42607,56955,71410,49274,57628,41654
2021,6_NJ,8221,5778,10185,9569,9827,19632,28485,48037,42721,63062,87210
2021,6_NY,7845,5836,9495,8948,11770,21549,27972,41919,32874,38216,38018
2021,6_OH,9452,8966,13480,12994,13902,28091,36156,47133,31651,32604,18192
2021,6_OR,9375,7602,11974,12350,13202,28310,42699,68391,55568,78149,78075
2021,6_PA,6866,5247,8213,8150,9966,21165,27683,48547,40548,61993,96824
2021,6_SC,27166,19934,25678,25179,27063,53925,73331,94383,66224,70620,57749
2021,6_TN,5901,4924,9065,8625,8000,17065,24108,31934,22717,24272,17766
2021,6_TX,3307,2666,4606,4838,5967,11507,15749,19827,14959,19639,12076
2021,6_VA,9667,7511,12964,14244,14594,29022,42152,62006,46061,52493,40260
2021,6_WA,9475,8060,12914,12066,14055,27029,44838,69482,54672,70184,65586
2021,6_WI,9086,5322,13696,13794,17764,38076,56836,85505,66982,81104,55639
2021,7_AL,8340,9571,12090,11117,10277,18948,21658,28605,18285,20305,12796
2021,7_AZ,2635,1783,2911,2504,3564,6990,9570,12053,8474,8793,4228
2021,7_CA,5654,4401,9278,5968,7127,13966,19860,33165,27020,35379,34817
2021,7_CO,4586,3483,6184,6214,6607,12557,20559,34992,28887,41244,46100
2021,7_FL,6555,3102,5966,6510,8605,18146,24980,37825,28399,35976,32545
2021,7_GA,9843,5532,9174,9961,12726,31859,45454,73511,55748,78861,90701
2021,7_IL,5193,3605,4159,3627,3267,6089,7112,12750,10071,14213,25160
2021,7_IN,12336,7583,9591,10366,10333,19788,28431,34527,19594,18857,16261
2021,7_MA,4294,4521,6464,3656,3470,6933,8047,12126,11447,15483,23762
2021,7_MD,15200,13093,16452,13862,12910,25341,36739,50998,33341,40477,34419
2021,7_MI,7112,6136,8615,8561,10343,21727,31014,43629,35832,42069,36105
2021,7_MN,5224,5748,10366,9422,10405,19346,29929,43247,34705,39366,23768
2021,7_MO,8820,10070,16130,15494,16321,35112,46179,61206,41116,38068,24492
2021,7_NC,18313,13739,22004,18802,21402,40152,52862,72758,49389,53854,38765
2021,7_NJ,4352,2573,5206,5254,6637,10447,17747,32828,32197,52954,107102
2021,7_NY,27260,17017,26090,22437,21770,41906,54443,82536,68572,94254,136913
2021,7_OH,2589,1832,3332,4245,4763,10554,16474,27673,22539,31630,31824
2021,7_PA,5200,5156,8603,10725,9818,20674,32403,44943,35322,46271,44214
2021,7_SC,11729,8367,13349,14208,15431,28141,38588,49985,30369,31502,21366
2021,7_TN,11212,8785,13148,13985,14063,29777,45888,66124,47396,53520,44110
2021,7_TX,12840,8392,10155,12603,11498,27735,42509,63974,47794,70049,117166
2021,7_VA,4868,4053,6211,6105,7237,16225,26963,48400,44761,69838,93140
2021,7_WA,6531,5022,7610,6075,6364,13036,19971,36686,30705,51091,97749
2021,7_WI,5422,4311,10355,9733,11496,23342,31972,47101,37324,38827,25435
2021,8_AZ,4738,3521,4411,4800,5714,12199,18502,25400,19981,26413,19767
2021,8_CA,3236,1775,3817,3452,3183,7743,11686,17428,15767,21501,23821
2021,8_CO,4490,3398,4587,5080,5862,14084,22902,38392,31858,45775,37584
2021,8_FL,8194,5260,10525,13733,13700,27189,41168,56090,38522,46537,40671
2021,8_GA,24355,14956,24264,20922,22258,42708,48379,64093,46592,51504,31524
2021,8_IL,9074,5542,8289,9773,11056,24245,38233,65998,58219,85900,107416
2021,8_IN,8667,7437,13125,13103,14858,28738,39877,52739,39446,40795,25910
2021,8_MA,14205,10064,19712,13626,14462,21540,33202,54906,49219,79299,123979
2021,8_MD,4870,3934,4989,5251,5326,13220,18763,33065,30715,50773,113322
2021,8_MI,13242,12133,17926,16075,18550,37333,52016,69495,44695,48495,36224
2021,8_MN,8342,7886,14072,13229,13954,29624,44061,66250,51367,65751,47043
2021,8_MO,11004,11749,18049,17849,18290,35084,47573,63470,42875,45894,26403
2021,8_NC,6442,4181,8243,9146,10078,19732,28983,40314,32415,37407,34526
2021,8_NJ,4542,3936,6960,6151,6603,11727,17141,22192,18593,22606,37096
2021,8_NY,12875,10963,21583,14883,12605,22900,29887,39073,29439,39946,41943
2021,8_OH,5377,4439,6429,7293,8700,16592,26682,39679,29527,37315,25689
2021,8_PA,7872,6184,12633,12116,12826,25616,33785,48401,36103,40110,27123
2021,8_TN,7901,7249,13521,12661,11353,22737,28946,37191,23554,22700,12233
2021,8_TX,7206,4995,6292,7077,8659,20240,31077,50860,41356,60914,62311
2021,8_VA,6855,5383,5941,6031,6872,14912,23090,44440,43978,70322,145140
2021,8_WA,1785,1473,2843,2868,3438,6527,9164,15178,12013,22251,41536
2021,8_WI,5819,3460,8782,8836,9912,22677,31394,49854,37575,44397,29873
2021,9_AZ,14940,10008,15790,17839,20555,42636,62421,95659,68839,77633,54162
2021,9_CA,8464,5256,9268,9244,10588,21564,27624,47836,39654,55714,62694
2021,9_FL,3730,2447,4789,6254,6799,12890,20992,30512,21243,23563,17689
2021,9_GA,7199,5725,10828,11888,12222,21540,33327,47209,35957,39390,36049
2021,9_IL,8089,6840,9439,6956,8478,17513,24777,36453,29112,37134,55049
2021,9_IN,11624,8308,14568,14890,16439,31561,44916,64838,48976,54387,35621
2021,9_MA,7402,5021,9566,9746,9816,20609,28271,45538,38270,56477,76569
2021,9_MI,6970,6096,9391,9962,10957,24373,38353,55081,46297,63000,62811
2021,9_NC,10276,8917,15633,13901,14904,29728,40164,61549,43687,51155,59522
2021,9_NJ,8278,5752,11292,9716,10416,20778,27744,42659,33947,47090,60323
2021,9_NY,4530,3484,6855,4386,4363,9632,13417,19622,15109,19221,18901
2021,9_OH,13195,12204,16588,15235,18316,36850,49992,70805,49272,54735,37876
2021,9_PA,10120,8261,16022,17464,17435,36097,49483,69545,52802,59805,39540
2021,9_TN,18967,12686,20138,16227,18003,37258,48747,65098,42348,50369,49494
2021,9_TX,19908,13801,19729,20831,22050,50450,61664,89831,61897,70685,75496
2021,9_VA,13909,11305,19832,17559,17888,35153,45945,60668,39686,40970,25324
2021,9_WA,10020,8173,10933,10862,11156,23464,39578,66511,55085,86201,126586